"id","name","value","lat","lng","created_at","updated_at"
"226","sensor1","50.00","0.86","112.92","2023-10-31 08:36:00",NULL
"227","sensor1","50.00","0.86","112.92","2023-10-31 09:06:00",NULL
"228","sensor1","50.00","0.86","112.92","2023-10-31 09:36:00",NULL
"229","sensor1","50.00","0.86","112.92","2023-10-31 10:06:00",NULL
"230","sensor1","50.00","0.86","112.92","2023-10-31 10:36:00",NULL
"231","sensor1","50.00","0.86","112.92","2023-10-31 11:06:00",NULL
"232","sensor1","50.00","0.86","112.92","2023-10-31 11:36:00",NULL
"233","sensor1","50.00","0.86","112.92","2023-10-31 12:06:00",NULL
"234","sensor1","50.00","0.86","112.92","2023-10-31 12:36:00",NULL
"235","sensor1","50.00","0.86","112.92","2023-10-31 13:06:00",NULL
"236","sensor1","50.00","0.86","112.92","2023-10-31 13:36:00",NULL
"237","sensor1","50.00","0.86","112.92","2023-10-31 14:06:00",NULL
"238","sensor1","50.00","0.86","112.92","2023-10-31 14:36:00",NULL
"239","sensor1","50.00","0.86","112.92","2023-10-31 15:06:00",NULL
"240","sensor1","50.00","0.86","112.92","2023-10-31 15:36:00",NULL
"241","sensor1","0.00","0.85","112.92","2023-11-01 08:06:00",NULL
"242","sensor1","0.00","0.85","112.92","2023-11-01 08:36:00",NULL
"243","sensor1","0.00","0.85","112.92","2023-11-01 09:06:00",NULL
"244","sensor1","0.00","0.85","112.92","2023-11-01 09:36:00",NULL
"245","sensor1","0.00","0.85","112.92","2023-11-01 10:06:00",NULL
"246","sensor1","0.00","0.85","112.92","2023-11-01 10:36:00",NULL
"247","sensor1","0.00","0.85","112.92","2023-11-01 11:06:00",NULL
"248","sensor1","0.00","0.85","112.92","2023-11-01 11:36:00",NULL
"249","sensor1","0.00","0.85","112.92","2023-11-01 12:06:00",NULL
"250","sensor1","0.00","0.85","112.92","2023-11-01 12:36:00",NULL
"251","sensor1","0.00","0.85","112.92","2023-11-01 13:06:00",NULL
"252","sensor1","0.00","0.85","112.92","2023-11-01 13:36:00",NULL
"253","sensor1","30.00","0.85","112.92","2023-11-01 14:06:00",NULL
"254","sensor1","30.00","0.85","112.92","2023-11-01 14:36:00",NULL
"255","sensor1","30.00","0.85","112.92","2023-11-01 15:06:00",NULL
"256","sensor1","30.00","0.85","112.92","2023-11-01 15:36:00",NULL
"257","sensor1","0.00","0.88","112.92","2023-11-02 08:06:00",NULL
"258","sensor1","0.00","0.88","112.92","2023-11-02 08:36:00",NULL
"259","sensor1","0.00","0.88","112.92","2023-11-02 09:06:00",NULL
"260","sensor1","0.00","0.88","112.92","2023-11-02 09:36:00",NULL
"261","sensor1","0.00","0.88","112.92","2023-11-02 10:06:00",NULL
"262","sensor1","0.00","0.88","112.92","2023-11-02 10:36:00",NULL
"263","sensor1","0.00","0.88","112.92","2023-11-02 11:06:00",NULL
"264","sensor1","0.00","0.88","112.92","2023-11-02 11:36:00",NULL
"265","sensor1","0.00","0.88","112.92","2023-11-02 12:06:00",NULL
